brand,product_name,color_name,price,personal_color,color_detail,texture_tag,pros_summary,cons_summary,key_ingredients,Unnamed: 10,product_id
Naming,플러피 파우더 블러쉬,치피,15000,#봄웜톤라이트,은은한 복숭아 피치 컬러,#보송 #실키,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,옥수수전분,,cheek_Naming_치피_1763391225019
Naming,플러피 파우더 블러쉬,토스트,15000,#가을웜톤뮤트,은은한 누디 브라운 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,옥수수전분,,cheek_Naming_토스트_1763391225020
Naming,플러피 파우더 블러쉬,티크,15000,#가을웜톤딥,딥한 누디 브라운 컬러,#보송 #실키,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,옥수수전분,,cheek_Naming_티크_1763391225021
Naming,플러피 파우더 블러쉬,스트럿,15000,#가을웜톤딥,딥한 번트 브릭 컬러,#보송 #실키,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,옥수수전분,,cheek_Naming_스트럿_1763391225022
Naming,플러피 파우더 블러쉬,필로우,15000,#봄웜톤,은은한 핑크 컬러,#보송 #실키,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,옥수수전분,,cheek_Naming_필로우_1763391225023
Naming,플러피 파우더 블러쉬,피이그,15000,#가을웜톤뮤트,은은한 핑크 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,옥수수전분,,cheek_Naming_피이그_1763391225024
Naming,플러피 파우더 블러쉬,헤이그,15000,#봄웜톤,은은한 복숭아 피치 컬러,#보송 #실키,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,옥수수전분,,cheek_Naming_헤이그_1763391225025
Naming,플러피 파우더 블러쉬,그레이브,15000,#여름쿨톤뮤트,은은한 퍼플 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,옥수수전분,,cheek_Naming_그레이브_1763391225026
Naming,플러피 파우더 블러쉬,페이지,15000,#가을웜톤뮤트,은은한 누디 베이지 컬러,#보송 #실키,과하지 않은 색상으로 데일리로 사용 좋아요,여러 번 덧바르면 다소 칙칙해질 수 있어요,옥수수전분,,cheek_Naming_페이지_1763391225027
Naming,플러피 파우더 블러쉬,어빗,15000,#여름쿨톤,은은한 핑크 컬러,#보송 #실키,붉은기 과하지 않아 자연스럽게 어울려요,피부가 건조하면 살짝 들뜰 수 있어요,옥수수전분,,cheek_Naming_어빗_1763391225028
VDL,치크스테인 블러셔,01 바운싱 피치,23000,#봄웜톤,은은한 복숭아 피치 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_01_바운싱피치_1763391225034
VDL,치크스테인 블러셔,11 보헤미안 핑크,23000,#봄웜톤,은은한 핑크 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_11_보헤미안핑크_1763391225035
VDL,치크스테인 블러셔,16 프로즌모브듀얼,23000,#여름쿨톤라이트,은은한 라일락 퍼플 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,히알루론산,,cheek_VDL_16프로즌모브듀얼_1763391225036
VDL,치크스테인 블러셔,13 하이퍼 핑크,23000,#겨울쿨톤,은은한 핑크 컬러,#보송 #블러링,붉은기 과하지 않아 자연스럽게 어울려요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_13하이퍼핑크_1763391225037
VDL,치크스테인 블러셔,01 바운싱 피치,23000,#봄웜톤,은은한 복숭아 피치 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_01_바운싱피치_1763391225034
VDL,치크스테인 블러셔,03 라이크 베이지,23000,#가을웜톤뮤트,은은한 누디 베이지 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_03_라이크_베이지_1763391225039
VDL,치크스테인 블러셔,06 헤이,23000,#봄웜톤,은은한 핑크 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_06_헤이_고져스_1763391225040
VDL,치크스테인 블러셔,09 플러팅 핑크,23000,#봄웜톤,은은한 핑크 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_09_플러팅_핑크_1763391225041
VDL,치크스테인 블러셔,10 칠린 라일락,23000,#여름쿨톤뮤트,은은한 라일락 퍼플 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_10_칠린_라일락_1763391225042
VDL,치크스테인 블러셔,13 하이퍼 핑크,23000,#겨울쿨톤,은은한 핑크 컬러,#보송 #블러링,붉은기 과하지 않아 자연스럽게 어울려요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_13하이퍼핑크_1763391225037
VDL,치크스테인 블러셔,15 빈티지 로즈,23000,#가을웜톤뮤트,은은한 장미빛 로즈 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_15_빈티지_로즈_1763391225045
VDL,치크스테인 블러셔,17 멜로우 씬 듀얼,23000,#여름쿨톤뮤트,은은한 핑크 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,히알루론산,,cheek_VDL_17멜로우씬듀얼_1763391225046
VDL,치크스테인 블러셔,02 페이보릿 라벤더,23000,#여름쿨톤라이트,은은한 라일락 퍼플 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,히알루론산,,cheek_VDL_02_페이보릿_라벤더_1763391225047
VDL,치크스테인 블러셔,07 미스티 애프리콧,23000,#봄웜톤라이트,은은한 복숭아 피치 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,히알루론산,,cheek_VDL_07_미스티_애프리콧_1763391225048
Lilybyred,러브빔 치크밤,15 너티빔,13000,#가을웜톤뮤트,차분하고 따뜻한 누드 베이지,#크리미 #보송,블렌딩 후 보송하게 마무리되어 사용이 편해요,건성 피부에는 다소 매트하게 느껴질 수 있어요,시어버터,,cheek_Lilybyred_15_너티빔_1763391225062
Lilybyred,러브빔 치크밤,14 로지빔,13000,#봄웜톤,은은한 로지 핑크,#크리미 #촉촉,붉은기 과하지 않아 자연스럽게 어울려요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_14_로지빔_1763391225063
Lilybyred,러브빔 치크밤,13 부끄빔,13000,#봄웜톤,은은한 핑크,#크리미 #촉촉,생기있게 연출되어 얼굴이 화사해 보여요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_13_부끄빔_1763391225064
Lilybyred,러브빔 치크밤,07 발그레빔,13000,#봄웜톤,생기 코랄 핑크,#크리미 #촉촉,손열로 녹여 두드리면 자연스러운 혈색 완성돼요,더운 날씨에는 무너짐이 빠를 수 있어요,호호바씨오일,,cheek_Lilybyred_07_발그레빔_1763391225065
Lilybyred,러브빔 치크밤,12 두근빔,13000,#봄웜톤,은은한 피치 핑크,#크리미 #촉촉,생기있게 연출되어 얼굴이 화사해 보여요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_12_두근빔_1763391225066
Lilybyred,러브빔 치크밤,05 앙큼빔,13000,#여름쿨톤라이트,사랑스럽고 발랄한 라일락 핑크,#크리미 #촉촉,크림 제형이라 볼에 착 밀착돼요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_05_앙큼빔_1763391225067
Lilybyred,러브빔 치크밤,03 감성빔,13000,#가을웜톤뮤트,차분한 모브 핑크,#크리미 #촉촉,붉은기 과하지 않아 자연스럽게 어울려요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_03_감성빔_1763391225068
Lilybyred,러브빔 치크밤,02 순수빔,13000,#여름쿨톤라이트,맑고 쿨한 딸기우유 핑크,#크리미 #촉촉,크림 제형이라 볼에 착 밀착돼요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_02_순수빔_1763391225069
Lilybyred,러브빔 치크밤,01 청초빔,13000,#봄웜톤라이트,맑은 피치 핑크,#크리미 #촉촉,손열로 녹여 두드리면 자연스러운 혈색 완성돼요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_01_청초빔_1763391225070
Lilybyred,러브빔 치크밤,09 새콤빔,13000,#봄웜톤,생기 코랄 오렌지,#크리미 #촉촉,생기있게 연출되어 얼굴이 화사해 보여요,더운 날씨에는 무너짐이 빠를 수 있어요,호호바씨오일,,cheek_Lilybyred_09_새콤빔_1763391225071
Lilybyred,러브빔 치크밤,10 포도빔,13000,#겨울쿨톤,생기있는 퍼플 핑크,#크리미 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,호호바씨오일,,cheek_Lilybyred_10_포도빔_1763391225072
Lilybyred,러브빔 치크밤,11 포근빔,13000,#가을웜톤뮤트,포근한 로지 코랄,#크리미 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,시간이 지나면 살짝 끈적일 수 있어요,호호바씨오일,,cheek_Lilybyred_11_포근빔_1763391225073
Lilybyred,러브빔 치크밤,06 복숭빔,13000,#봄웜톤라이트,맑은 복숭아 핑크,#크리미 #촉촉,자연스러운 혈색처럼 발색되어 화사해요,더운 날씨에는 무너짐이 빠를 수 있어요,호호바씨오일,,cheek_Lilybyred_06_복숭빔_1763391225074
Peripera,맑게 물든 선샤인 치크,28 케미팡팡해,8000,#봄웜톤,맑은 피치 컬러,#크리미 #촉촉,자연스러운 혈색처럼 발색되어 화사해요,더운 날씨에는 무너짐이 빠를 수 있어요,살구추출물,,cheek_Peripera_28_케미팡팡해_1763391225075
Peripera,맑게 물든 선샤인 치크,30 장미멀멀해,8000,#가을웜톤뮤트,은은한 로즈 컬러,#크리미 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,더운 날씨에는 무너짐이 빠를 수 있어요,살구추출물,,cheek_Peripera_30_장미멀멀해_1763391225076
Peripera,맑게 물든 선샤인 치크,12 날씨요정등극해,8000,#겨울쿨톤,딥한 핑크 컬러,#보송 #실키,붉은기 과하지 않아 자연스럽게 어울려요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,베리콤플렉스,,cheek_Peripera_12_날씨요정등극해_1763391225077
Peripera,맑게 물든 선샤인 치크,29 모브낭낭해,8000,#여름쿨톤뮤트,은은한 퍼플 컬러,#크리미 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,더운 날씨에는 무너짐이 빠를 수 있어요,베리콤플렉스,,cheek_Peripera_29_모브낭낭해_1763391225078
Peripera,맑게 물든 선샤인 치크,31 라떼달달해,8000,#가을웜톤뮤트,은은한 누디 베이지 컬러,#크리미 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,더운 날씨에는 무너짐이 빠를 수 있어요,살구추출물,,cheek_Peripera_31_라떼달달해_1763391225079
Peripera,맑게 물든 선샤인 치크,01 집밖은위험해,8000,#가을웜톤뮤트,말린 감귤빛 누디 피치 컬러,#보송 #블러링,과하지 않은 피치톤으로 어디에나 잘 어울려요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,살구추출물,,cheek_Peripera_01_집밖은위험해_1763391225080
Peripera,맑게 물든 선샤인 치크,06 아침잠좋아해,8000,#여름쿨톤라이트,맑은 핑크 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,베리콤플렉스,,cheek_Peripera_06_아침잠좋아해_1763391225081
Peripera,맑게 물든 선샤인 치크,16 도토리좋아해,8000,#가을웜톤딥,딥한 누디 브라운 컬러,#보송 #블러링,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,살구추출물,,cheek_Peripera_16_도토리_좋아해_1763391225082
Peripera,맑게 물든 선샤인 치크,22 당도초과해,8000,#봄웜톤,은은한 피치 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,살구추출물,,cheek_Peripera_22_당도초과해_1763391225083
Peripera,맑게 물든 선샤인 치크,25 반달입떡해,8000,#가을웜톤뮤트,은은한 코랄 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,살구추출물,,cheek_Peripera_25_반달입떡해_1763391225084
Peripera,맑게 물든 선샤인 치크,26 달달베리해,8000,#겨울쿨톤딥,딥한 베리 핑크 컬러,#보송 #실키,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,베리콤플렉스,,cheek_Peripera_26_달달베리해_1763391225085
Peripera,맑게 물든 선샤인 치크,27 딸기수확해,8000,#겨울쿨톤,딥한 베리 핑크 컬러,#보송 #실키,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,베리콤플렉스,,cheek_Peripera_27_딸기수확해_1763391225086
Rom&nd,롬앤 배러 댄 치크,C02 블루베리칩,9900,#여름쿨톤뮤트,은은한 퍼플 핑크 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_C02_블루베리칩_1763391225087
Rom&nd,롬앤 배러 댄 치크,N02 바인 누드,9900,#가을웜톤뮤트,은은한 누디 베이지 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_N02_바인_누드_1763391225088
Rom&nd,롬앤 배러 댄 치크,N01 너티 누드,9900,#가을웜톤뮤트,은은한 누디 베이지 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_N01_너티_누드_1763391225089
Rom&nd,롬앤 배러 댄 치크,W03 애프리콧 밀크,9900,#봄웜톤라이트,맑은 복숭아 피치 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,실리카,,cheek_Rom_nd_W03_애프리콧_밀크_1763391225090
Rom&nd,롬앤 배러 댄 치크,W02 스트로베리 밀크,9900,#여름쿨톤라이트,맑은 핑크 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,실리카,,cheek_Rom_nd_W02_스트로베리_밀크_1763391225091
Rom&nd,롬앤 배러 댄 치크,W01 오디 밀크,9900,#여름쿨톤뮤트,은은한 퍼플 핑크 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_W01_오디_밀크_1763391225092
Rom&nd,롬앤 배러 댄 치크,C04 페어칩,9900,#봄웜톤,은은한 피치 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_C04_페어칩_1763391225093
Rom&nd,롬앤 배러 댄 치크,C03 피그칩,9900,#가을웜톤뮤트,은은한 핑크 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_C03_피그칩_1763391225094
Rom&nd,롬앤 배러 댄 치크,C01 피치칩,9900,#봄웜톤,은은한 피치 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,실리카,,cheek_Rom_nd_C01_피치칩_1763391225095
Rom&nd,롬앤 배러 댄 치크 #글레이즈,G02 쥬시 글레이즈,9900,#봄웜톤,딥한 오렌지 코랄 컬러,#광택 #투명,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,실리카,,cheek_Rom_nd_G02_쥬시_글레이즈_1763391225096
Rom&nd,롬앤 배러 댄 치크 #글레이즈,G01 피치 글레이즈,9900,#봄웜톤,딥한 코랄 핑크 컬러,#광택 #투명,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,실리카,,cheek_Rom_nd_G01_피치_글레이즈_1763391225097
Rom&nd,롬앤 배러 댄 치크 #스프링피버,S02 리치 칩,9900,#봄웜톤라이트,맑은 코랄 컬러,#맑음 #실키,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,실리카,,cheek_Rom_nd_S02_리치_칩_1763391225098
Rom&nd,롬앤 배러 댄 치크 #스프링피버,S01 망고 칩,9900,#봄웜톤라이트,맑은 오렌지 컬러,#맑음 #실키,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,실리카,,cheek_Rom_nd_S01_망고_칩_1763391225099
Rom&nd,롬앤 배러 댄 치크 #블랙스펙트럼,B01 진저 나잇,9900,#가을웜톤딥,딥한 브라운 컬러,#보송 #블러링,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,실리카,,cheek_Rom_nd_B01_진저_나잇_1763391225100
Rom&nd,롬앤 배러 댄 치크 #블랙스펙트럼,B02 베리 던,9900,#겨울쿨톤딥,딥한 베리 브라운 컬러,#보송 #블러링,한 번만 발라도 선명하게 발색돼요,양 조절을 못 하면 다소 진하게 착색될 수 있어요,실리카,,cheek_Rom_nd_B02_베리_던_1763391225101
Rom&nd,롬앤 배러 댄 치크 #블랙스펙트럼,B03 블랙 밤,9900,#겨울쿨톤딥,딥한 와인 컬러,#크리미 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,실리카,,cheek_Rom_nd_B03_블랙_밤_1763391225102
디어달리아,리퀴드 블러쉬,베티,25000,#겨울쿨톤딥,딥한 버건디 레드 컬러,#리퀴드 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_베티_1763391225103
디어달리아,리퀴드 블러쉬,샤이,25000,#여름쿨톤뮤트,은은한 핑크 컬러,#리퀴드 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_샤이_1763391225104
디어달리아,리퀴드 블러쉬,레이지,25000,#가을웜톤뮤트,은은한 코랄 컬러,#리퀴드 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_레이지_1763391225105
디어달리아,리퀴드 블러쉬,베어리,25000,#봄웜톤라이트,맑은 피치 핑크 컬러,#리퀴드 #촉촉,자연스러운 혈색처럼 발색되어 화사해요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_베어리_1763391225106
디어달리아,리퀴드 블러쉬,소프티,25000,#봄웜톤,은은한 핑크 컬러,#리퀴드 #촉촉,생기있게 연출되어 얼굴이 화사해 보여요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_소프티_1763391225107
디어달리아,리퀴드 블러쉬,드리미,25000,#여름쿨톤,은은한 핑크 컬러,#리퀴드 #촉촉,붉은기 과하지 않아 자연스럽게 어울려요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_드리미_1763391225108
디어달리아,리퀴드 블러쉬,무디,25000,#가을웜톤딥,딥한 브라운 로즈 컬러,#리퀴드 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_무디_1763391225109
디어달리아,리퀴드 블러쉬,글로리,25000,#가을웜톤,딥한 코랄 컬러,#리퀴드 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_글로리_1763391225110
디어달리아,리퀴드 블러쉬,딜라잇,25000,#여름쿨톤라이트,맑은 라일락 핑크 컬러,#리퀴드 #촉촉,자연스러운 혈색처럼 발색되어 화사해요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_딜라잇_1763391225111
디어달리아,리퀴드 블러쉬,태피,25000,#봄웜톤,은은한 피치 컬러,#리퀴드 #촉촉,생기있게 연출되어 얼굴이 화사해 보여요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_태피_1763391225113
디어달리아,리퀴드 블러쉬,웨이비,25000,#봄웜톤,딥한 코랄 컬러,#리퀴드 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_웨이비_1763391225114
디어달리아,리퀴드 블러쉬,브리지,25000,#봄웜톤,딥한 코랄 컬러,#리퀴드 #촉촉,한 번만 발라도 선명하게 발색돼요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_브리지_1763391225115
디어달리아,리퀴드 블러쉬,퓨리티,25000,#여름쿨톤라이트,맑은 핑크 컬러,#리퀴드 #촉촉,자연스러운 혈색처럼 발색되어 화사해요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_퓨리티_1763391225116
디어달리아,리퀴드 블러쉬,플레쉬,25000,#봄웜톤,은은한 핑크 컬러,#리퀴드 #촉촉,생기있게 연출되어 얼굴이 화사해 보여요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_플레쉬_1763391225117
디어달리아,리퀴드 블러쉬,헤이지,25000,#여름쿨톤뮤트,은은한 퍼플 핑크 컬러,#리퀴드 #촉촉,과하지 않은 색상으로 데일리로 사용 좋아요,더운 날씨에는 무너짐이 빠를 수 있어요,달리아꽃추출물,,cheek_디어달리아_헤이지_1763391225118
딘토,블러피니쉬 올댓모먼츠 블러셔,503 스펑키 카프카,19000,#봄웜톤,은은한 코랄 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_딘토_503_스펑키_카프카_1763391225119
딘토,블러피니쉬 올댓모먼츠 블러셔,505 블러쉬드 니체,19000,#가을웜톤뮤트,은은한 핑크 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_딘토_505_블러쉬드_니체_1763391225120
딘토,블러피니쉬 올댓모먼츠 블러셔,506 드리미 와일드,19000,#봄웜톤,은은한 핑크 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_딘토_506_드리미_와일드_1763391225121
딘토,블러피니쉬 올댓모먼츠 블러셔,501 메리 오웰,19000,#봄웜톤,은은한 코랄 컬러,#보송 #블러링,생기있게 연출되어 얼굴이 화사해 보여요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_딘토_501_메리_오웰_1763391225122
딘토,블러피니쉬 올댓모먼츠 블러셔,502 스윗 릴케,19000,#봄웜톤라이트,맑은 피치 컬러,#보송 #블러링,자연스러운 혈색처럼 발색되어 화사해요,피부톤에 따라 발색이 연하게 느껴질 수 있어요,비타민E,,cheek_딘토_502_스윗_릴케_1763391225123
딘토,블러피니쉬 올댓모먼츠 블러셔,504 무디 로르카,19000,#가을웜톤뮤트,은은한 코랄 컬러,#보송 #블러링,과하지 않은 색상으로 데일리로 사용 좋아요,피부가 건조하면 살짝 들뜰 수 있어요,비타민E,,cheek_딘토_504_무디_로르카_1763391225124
