brand,product_name,color_name,price,personal_color,color_detail,texture_tag,pros_summary,cons_summary,key_ingredients,product_id
홀리카홀리카,마이페이브 피스 아이섀도우,아로마에스프레소,4800,#가을웜톤딥 #겨울쿨톤,진한 에스프레소 다크 브라운,#매트 #버터리,라이너용으로 깊이감 있고 버터리 질감으로 발색 강함,매우 진해서 양 조절 실패하면 지저분해지고 덜어내기 어려움,탈크,eye_홀리카홀리카_아로마에스프레소_1763391225075
홀리카홀리카,마이페이브 피스 아이섀도우,펄리,6400,#봄웜톤 #여름쿨톤,밝은 핑크 베이지 펄,#펄 #시머,은은한 펄감으로 화사하고 베이스 정리용으로 좋음,펄이 강하지 않아 포인트로는 부족하고 심심할 수 있음,마이카,eye_홀리카홀리카_펄리_1763391225076
홀리카홀리카,마이페이브 피스 아이섀도우,드리미 듀,6400,#여름쿨톤 #봄웜톤라이트,맑은 핑크 베이지,#매트 #소프트,밝은 톤으로 화사한 메이크업 연출하고 부드러운 질감,색이 매우 연해서 2-3회 겹바름 필요하고 베이스 전용,실리카,eye_홀리카홀리카_드리미_듀_1763391225077
홀리카홀리카,마이페이브 피스 아이섀도우,핑크어텐션,6400,#여름쿨톤 #봄웜톤,생기있는 핑크 컬러,#매트 #부드러움,발색 한 번에 잘 되고 핑크감 선명하며 혈색 연출 좋음,과발색 주의하고 블렌딩 필수이며 가루날림 있음,탈크,eye_홀리카홀리카_핑크어텐션_1763391225078
홀리카홀리카,마이페이브 피스 아이섀도우,치키구아바,6400,#봄웜톤 #가을웜톤라이트,따뜻한 구아바 코랄핑크,#매트 #실키,혈색 메이크업에 좋고 실키하게 발리며 입자 고움,시간 지나면 톤다운되고 지속력 보통이며 피지에 밀릴 수 있음,마이카,eye_홀리카홀리카_치키구아바_1763391225079
홀리카홀리카,마이페이브 피스 아이섀도우,하이퍼핑크,6400,#여름쿨톤 #봄웜톤,선명한 핑크 컬러,#매트 #버터리,임팩트 있는 핑크로 포인트 메이크업하기 좋고 발색 강함,매우 진해서 소량만 사용하고 가루날림 있으며 블렌딩 어려움,실리카,eye_홀리카홀리카_하이퍼핑크_1763391225080
홀리카홀리카,마이페이브 피스 아이섀도우,애프리콧듀,6400,#봄웜톤 #가을웜톤라이트,은은한 애프리콧 베이지,#매트 #소프트,부드러운 베이스 컬러로 데일리 사용하기 좋음,음영 표현 약하고 단조로우며 특별함 부족,탈크,eye_홀리카홀리카_애프리콧듀_1763391225081
홀리카홀리카,마이페이브 피스 아이섀도우,슈가코트,6400,#봄웜톤 #여름쿨톤,밝은 베이지 핑크,#매트 #파우더리,화사한 베이스로 무난하고 발색 적당함,밋밋하고 특별함 부족하며 단독 사용 어려움,마이카,eye_홀리카홀리카_슈가코트_1763391225082
홀리카홀리카,마이페이브 피스 아이섀도우,크림릿,6400,#봄웜톤라이트 #여름쿨톤,밝은 크림 아이보리,#매트 #부드러움,베이스 또는 하이라이터 겸용으로 사용 가능,너무 밝아서 자연스럽지 않고 텁텁할 수 있음,실리카,eye_홀리카홀리카_크림릿_1763391225083
홀리카홀리카,마이페이브 피스 아이섀도우,아이보릿,6400,#봄웜톤 #여름쿨톤,순백의 아이보리 톤,#매트 #파우더리,하이라이터 겸용으로 화사하게 밝혀줌,발색 약하고 밝아서 부자연스러우며 단독 사용 불가,탈크,eye_홀리카홀리카_아이보릿_1763391225084
홀리카홀리카,마이페이브 피스 아이섀도우,스플래시,6400,#여름쿨톤 #겨울쿨톤,맑은 화이트 하이라이터,#매트 #실키,베이스 정리용으로 깔끔하고 밝은 톤,너무 하얘서 부자연스럽고 밀착력 아쉬우며 텁텁함,마이카,eye_홀리카홀리카_스플래시_1763391225085
홀리카홀리카,마이페이브 피스 아이섀도우,위티,6400,#가을웜톤 #봄웜톤,깊은 레드 브라운,#매트 #버터리,음영 및 포인트 컬러로 발색 좋고 버터리 질감,진한 컬러라 양 조절 필수이고 가루날림 있으며 블렌딩 어려움,실리카,eye_홀리카홀리카_위티_1763391225086
홀리카홀리카,마이페이브 피스 아이섀도우,엔젤릭,6400,#여름쿨톤 #봄웜톤,생기있는 로즈 핑크,#매트 #소프트,발색 선명하고 혈색 연출 좋으며 입자 고움,과발색 주의하고 블렌딩 필수이며 가루날림 있음,탈크,eye_홀리카홀리카_엔젤릭_1763391225087
홀리카홀리카,마이페이브 피스 아이섀도우,디뮤어,6400,#가을웜톤 #봉웜톤,깊은 피치 브라운,#매트 #부드러움,음영 표현 좋고 깊이감 있으며 발색 선명,어두운 컬러라 지저분해질 수 있고 소량 사용 필요,마이카,eye_홀리카홀리카_디뮤어_1763391225088
홀리카홀리카,마이페이브 피스 아이섀도우,문샤인,6400,#가을웜톤딥 #겨울쿨톤,진한 다크 브라운,#매트 #실키,라이너 겸용으로 깊은 발색하고 음영 효과 강함,매우 진해서 블렌딩 어렵고 실수하면 번지며 지저분해짐,실리카,eye_홀리카홀리카_문샤인_1763391225089
데이지크,블루밍 싱글 섀도우,01 코랄 밀크,7900,#봄웜톤 #여름쿨톤,밝은 코랄 밀크 베이지,#매트 #뽀용,데이지크 특유의 뽀용한 질감으로 블렌딩 잘되고 베이스로 좋음,가루날림 약간 있고 손으로 바르면 발색 약해 브러쉬 필수,실리카,eye_데이지크_01_코랄_밀크_1763391225090
데이지크,블루밍 싱글 섀도우,03 체리 블라썸,7900,#봄웜톤 #여름쿨톤,벚꽃 핑크 컬러,#매트 #사르르,수채화처럼 퍼지듯 블렌딩되고 색감 예쁘며 봄 무드,단독 사용 어렵고 레이어링 필요하며 발색 은은함,탈크,eye_데이지크_03_체리_블라썸_1763391225091
데이지크,블루밍 싱글 섀도우,04 스프링 피크닉,7900,#봄웜톤라이트 #여름쿨톤,화사한 피치 베이지,#매트 #부드러움,봄 메이크업에 찰떡이고 밝은 톤으로 화사함,베이스 역할만 가능하고 음영 부족하며 매트라인 가루날림 있음,마이카,eye_데이지크_04_스프링_피크닉_1763391225092
데이지크,블루밍 싱글 섀도우,05 피치 컨페티,7900,#봄웜톤 #가을웜톤라이트,따뜻한 피치 코랄,#매트 #실키,혈색감 좋고 자연스러운 발색하며 실키한 질감,시간 지나면 톤다운되고 지속력 약하며 가루날림 있음,실리카,eye_데이지크_05_피치_컨페티_1763391225093
데이지크,블루밍 싱글 섀도우,06 페탈 스프링클,7900,#봄웜톤 #여름쿨톤,은은한 핑크 베이지,#매트 #뽀용,뽀용한 텍스처로 부드럽게 발리고 블렌딩 쉬움,발색 약해서 여러 번 겹바름 필요하고 브러쉬 사용 권장,탈크,eye_데이지크_06_페탈_스프링클_1763391225094
데이지크,블루밍 싱글 섀도우,07 미스틱 블라썸,7900,#여름쿨톤 #겨울쿨톤,쿨톤 핑크 베이지,#매트 #사르르,쿨톤 메이크업에 좋고 블렌딩 쉬우며 데이지크 특유의 질감,단조로울 수 있고 특별함 부족하며 매트라인 가루날림,마이카,eye_데이지크_07_미스틱_블라썸_1763391225095
데이지크,블루밍 싱글 섀도우,08 블루밍 캔디,7900,#여름쿨톤 #봄웜톤라이트,청량한 핑크 컬러,#매트 #부드러움,화사한 분위기 연출하고 발색 적당하며 봄 느낌,밝은 톤이라 단독 사용 어렵고 손으로 바르면 다른 색상영역 침입,실리카,eye_데이지크_08_블루밍_캔디_1763391225096
데이지크,블루밍 싱글 섀도우,09 플라워 소다,7900,#여름쿨톤 #봄웜톤,생기있는 로즈 핑크,#매트 #실키,발색 한 번에 잘 되고 색감 예쁘며 실키한 질감,과발색 주의하고 블렌딩 필수이며 매트라인 가루날림,탈크,eye_데이지크_09_플라워_소다_1763391225097
데이지크,블루밍 싱글 섀도우,10 베리 토프,7900,#가을웜톤뮤트 #봄웜톤,차분한 베리 베이지,#매트 #뽀용,뽀용한 질감으로 은은한 음영 주고 블렌딩 자연스러움,색이 연해서 레이어링 필요하고 브러쉬로 발라야 발색됨,마이카,eye_데이지크_10_베리_토프_1763391225098
삐아,레디 투 웨어 아이섀도우,06 모태청순,4500,#여름쿨톤 #겨울쿨톤,차분한 쿨톤 베이지,#매트 #부드러움,음영용으로 유명하고 발색 좋으며 가성비 우수,단독 사용 어렵고 색이 진해서 양 조절 필수,탈크,eye_삐아_06_모태청순_1763391225099
삐아,레디 투 웨어 아이섀도우,07 모태매력,4500,#봄웜톤 #가을웜톤라이트,핑크 베이지 컬러,#매트 #실키,발색 한 번에 잘 되고 데일리용으로 무난함,색이 연해서 베이스 전용이고 음영 부족,마이카,eye_삐아_07_모태매력_1763391225100
삐아,레디 투 웨어 아이섀도우,08 모태지적,4500,#가을웜톤 #봄웜톤,깊은 베이지 브라운,#매트 #부드러움,음영 표현 좋고 지적인 분위기 연출하며 발색 선명,과발색 주의하고 블렌딩 필수이며 가루날림 있음,실리카,eye_삐아_08_모태지적_1763391225101
삐아,레디 투 웨어 아이섀도우,09 모태분위기,4500,#가을웜톤뮤트 #여름쿨톤,뮤티드 모브 브라운,#매트 #벨벳,분위기 있는 컬러로 음영에 좋고 벨벳 질감,진한 색이라 소량 사용하고 블렌딩 어려우며 지저분해질 수 있음,탈크,eye_삐아_09_모태분위기_1763391225102
에뛰드,왓츠 인 마이 아이즈 더블,01 코랄 밀크,7900,#봄웜톤 #여름쿨톤,밝은 코랄 밀크 베이지,#매트 #부드러움,무난한 질감으로 발색 적당하고 데일리용,질이 무난하지만 특별함 부족하고 감흥 적음,마이카,eye_에뛰드_01_코랄_밀크_1763391225103
에뛰드,왓츠 인 마이 아이즈 더블,03 체리 블라썸,7900,#봄웜톤 #여름쿨톤,벚꽃 핑크 컬러,#매트 #소프트,발색 괜찮고 봄 메이크업에 적합하며 가격 착함,발색이 예전 에뛰드보다 나아졌지만 가격도 오름,실리카,eye_에뛰드_03_체리_블라썸_1763391225104
에뛰드,왓츠 인 마이 아이즈 더블,04 스프링 피크닉,7900,#봄웜톤라이트 #여름쿨톤,화사한 피치 베이지,#매트 #파우더리,밝은 톤으로 화사하고 베이스용으로 좋음,베이스 역할만 가능하고 단조로우며 특별함 부족,탈크,eye_에뛰드_04_스프링_피크닉_1763391225105
에뛰드,왓츠 인 마이 아이즈 더블,05 피치 컨페티,7900,#봄웜톤 #가을웜톤라이트,따뜻한 피치 코랄,#매트 #부드러움,혈색감 좋고 자연스러운 발색하며 무난함,나쁘지 않지만 엄청 감흥 오지 않고 평범함,마이카,eye_에뛰드_05_피치_컨페티_1763391225106
에뛰드,왓츠 인 마이 아이즈 더블,06 페탈 스프링클,7900,#봄웜톤 #여름쿨톤,은은한 핑크 베이지,#매트 #실키,부드럽게 발리고 블렌딩 쉬우며 가격 착함,발색 약해서 여러 번 겹바름 필요하고 단독 사용 어려움,실리카,eye_에뛰드_06_페탈_스프링클_1763391225107
에뛰드,왓츠 인 마이 아이즈 더블,07 미스틱 블라썸,7900,#여름쿨톤 #겨울쿨톤,쿨톤 핑크 베이지,#매트 #파우더리,쿨톤 메이크업에 좋고 발색 무난함,질감이 무난하지만 특별함 부족하고 밋밋함,탈크,eye_에뛰드_07_미스틱_블라썸_1763391225108
